"X165";"X1";"X178";"X163";"X105";"X47";"X161";"X2";"X14";"X170";"X103";"X98";"X81";"X162";"X164";"X151";"X83";"X152";"X149";"X159";"X101";"y"
93;-72;-39;66;60;-3;75;-68;-6;63;39;50;35;67;76;12;-7;33;-28;56;33;"5"
-43;36;-31;-61;16;76;-43;33;-15;-53;5;11;22;-56;-55;-20;14;-16;-37;-14;1;"3"
-1;-103;101;14;78;-19;37;-101;-90;18;50;28;-27;24;8;52;-17;27;76;67;26;"5"
46;56;43;49;-3;47;47;50;6;21;2;5;-19;48;48;58;-24;52;58;40;1;"2"
1090;512;-1089;584;-205;1001;62;351;-458;-747;758;-1270;384;252;941;144;381;201;57;68;541;"1"
-138;20;-100;-52;-103;-64;0;86;-145;-1;-93;-35;-10;-20;-96;-56;8;-24;-71;44;-56;"4"
-25;-65;6;-37;-16;39;-36;-71;-6;-12;-19;-20;-57;-36;-34;-17;-55;-18;-21;-30;-18;"3"
44;49;124;40;19;-55;34;29;-24;102;12;61;102;34;47;45;85;57;17;37;18;"2"
13;15;27;76;55;-24;131;14;-33;-12;4;-6;-137;117;33;-41;-138;-48;-12;82;-27;"4"
-9;-60;-8;-5;-13;-47;-11;-62;-15;-43;3;25;-3;-10;-7;20;-3;13;25;-15;21;"2"
-107;18;-30;-127;41;10;-67;19;-33;-16;18;9;68;-104;-132;-64;21;-26;-93;-12;18;"5"
33;29;-70;3;-90;25;-34;50;144;14;-59;-49;14;-16;21;67;38;59;62;-50;-51;"3"
-9;1;-19;-50;-35;-22;-49;7;4;-15;-27;15;39;-49;-35;-44;36;-42;-50;-18;-5;"5"
-43;16;23;-57;76;31;-48;25;-81;-105;33;-103;-81;-67;-43;-26;-22;11;-5;0;-37;"3"
270;-605;341;210;49;375;156;-395;555;337;89;339;-264;180;242;69;-225;134;-22;152;226;"1"
-103;3;-85;-101;-42;32;-105;8;-29;-141;-45;-39;63;-103;-102;-153;61;-139;-178;-109;-44;"3"
20;1;69;13;41;-128;4;-1;-7;36;41;48;34;11;21;-30;42;-31;-34;-4;40;"3"
103;51;58;62;118;-33;19;81;-17;8;76;66;68;27;97;50;72;35;57;62;37;"5"
-45;-1;-17;-10;-74;59;6;-7;-90;-73;-76;-37;-7;-5;-26;1;-38;-19;27;30;-14;"3"
18;35;4;7;30;22;4;24;-22;-20;14;-9;32;-5;8;-4;47;-1;-2;3;-1;"5"
-24;143;-63;14;-291;-2;46;134;-87;12;-145;159;-261;36;0;-55;-396;-64;1;35;49;"1"
11;36;-34;21;-36;23;1;37;-35;-61;-41;-30;44;16;18;-9;18;-3;-21;-6;-29;"3"
-5;-88;49;-4;-42;-60;-6;-95;-79;6;-31;-7;-113;-3;-7;29;-101;26;28;-11;-16;"3"
-24;49;-16;-19;18;92;-5;43;15;-25;8;9;41;-11;-23;-40;23;-30;-46;3;2;"3"
-115;-36;-106;-59;-33;-25;27;-66;-36;51;-56;3;-68;-21;-94;-177;-7;-186;-134;75;-16;"4"
18;35;1;-1;-48;-3;-7;21;22;4;-64;-42;30;-3;9;-9;28;-14;9;-18;-51;"5"
-109;-80;-89;-110;-50;-62;-94;-92;-42;-48;-29;-72;-86;-99;-120;-40;-98;-37;-56;-78;-35;"5"
-20;-3;-40;204;36;74;305;34;218;-333;45;129;-118;262;104;-24;-236;-25;-41;328;56;"1"
50;22;-19;65;53;-41;35;-15;-3;-4;37;17;38;58;58;13;16;-8;-1;-17;52;"4"
-202;-4;-32;-232;47;-48;-253;-17;3;-123;36;8;-12;-245;-218;-252;-23;-259;-244;-265;14;"2"
41;-225;74;-280;207;-145;-193;-248;-304;118;155;371;387;-229;-229;-135;248;-167;-79;-139;145;"1"
-80;-274;-61;-83;-15;-48;-85;-280;-198;-66;-6;17;85;-84;-80;-22;89;-23;-25;-76;16;"3"
41;-37;-37;17;46;-26;-56;-47;-24;-105;-30;-155;-96;-24;39;-17;-62;-45;1;-95;-87;"4"
68;-113;-45;32;-91;-33;3;-97;-120;-16;-46;-79;-72;17;52;22;-106;-7;25;-79;-24;"3"
-18;70;60;17;43;55;61;95;8;18;19;-44;8;40;2;123;82;79;41;-8;-60;"4"
-152;-70;69;-69;166;24;-56;-53;-52;-234;51;-79;-48;-60;-101;-112;-22;-80;-81;-30;-31;"4"
67;31;41;43;23;17;17;21;9;41;14;33;-13;26;53;71;-1;67;86;22;5;"3"
11;31;-72;9;64;95;-19;32;-81;-9;66;92;17;-3;14;-92;22;-83;-100;-43;72;"3"
241;-206;62;173;-38;-238;82;-149;-216;-24;-20;-63;-58;132;209;26;29;-38;165;-43;-54;"4"
-1;-69;142;-5;29;-53;23;-23;40;77;16;18;-1;10;-14;20;105;31;12;33;3;"4"
-116;-17;-82;-102;-88;2;-90;22;-142;-36;-31;-25;-58;-97;-105;-142;-49;-120;-113;-14;14;"4"
-45;-12;72;-18;64;-6;9;0;37;22;64;-30;1;-4;-32;-35;-14;-57;-14;33;32;"4"
-122;-38;-37;-63;-89;-83;-82;-93;-21;-89;-82;-68;-74;-68;-80;27;-60;48;-53;-61;-68;"4"
339;-354;-133;422;67;67;321;-331;-13;-421;27;-52;19;369;414;49;-129;30;50;205;-8;"1"
-133;142;-145;-107;-310;140;396;262;-290;-394;-189;-477;-333;105;-213;-225;-326;-178;-264;616;-364;"1"
-10;-13;-26;-15;-50;-55;-19;-21;-33;-29;-50;-54;-12;-16;-15;-26;-12;-26;-33;-11;-44;"2"
19;-3;48;34;74;27;64;-29;-207;74;153;-3;49;46;20;153;96;168;149;105;573;"2"
-30;-20;24;-18;79;12;-34;-42;22;11;93;104;165;-22;-9;-79;150;-70;-55;-44;100;"5"
10;-1;-532;41;-488;-292;54;-7;23;-55;-277;-17;54;51;26;50;41;51;52;58;-120;"1"
-6;35;82;45;37;117;61;51;67;54;28;17;51;55;17;-71;54;-53;-36;34;7;"4"
-14;-116;9;1;-37;-24;-2;-111;-27;23;-46;-88;-14;4;-10;-78;-26;-72;-87;3;-58;"3"
7;-127;-83;-32;-183;-53;-53;-129;1;-59;-157;72;54;-39;-12;-39;-20;-70;-7;-76;-57;"4"
37;-10;-8;36;-11;40;31;-6;-38;38;0;2;-32;35;34;19;-36;21;11;29;-1;"2"
-127;-108;-64;-181;-4;-97;-117;-109;-16;-28;19;-71;-59;-166;-163;21;63;16;-37;14;29;"4"
-34;-89;-18;-36;-71;61;-23;-108;-39;-75;-81;-161;-97;-35;-40;8;-99;12;22;-38;-123;"3"
27;-66;7;45;-3;-61;71;-54;-64;-43;14;-41;6;63;32;1;-46;4;11;43;-31;"5"
15;43;16;26;-15;24;25;58;47;7;-10;22;-8;24;20;1;12;5;-9;28;5;"2"
5;-40;48;-11;6;31;-6;-42;-125;32;-2;2;-17;-10;-6;12;-26;12;15;6;-4;"3"
-41;-10;17;-70;112;28;-73;-66;-37;102;45;-42;-205;-79;-57;-175;-120;-187;-169;-122;3;"4"
-84;-19;-129;-54;-49;-20;20;-21;-32;-28;-57;-37;6;-10;-75;-41;-46;-33;-44;42;-44;"3"
-39;54;19;-17;67;-30;-31;43;37;-27;92;-12;-1;-28;-29;-39;7;-45;11;-26;53;"5"
-2;46;-36;-10;43;26;-26;54;-36;-44;38;-71;-63;-24;6;-2;-14;-46;51;-18;13;"4"
-747;705;326;-898;356;302;-472;581;-295;-81;763;220;493;-761;-867;214;-58;295;130;159;627;"1"
61;31;61;67;36;43;51;8;29;48;36;14;43;55;76;100;36;103;102;52;54;"4"
20;-31;6;28;37;-14;18;19;-14;-16;84;-96;52;25;27;-78;25;-25;-152;4;24;"4"
-185;45;-117;-175;-112;-9;-156;41;-11;-148;-79;-37;152;-164;-180;-217;156;-207;-238;-159;-63;"2"
57;19;48;65;13;-18;41;15;-25;53;5;-4;-54;62;59;95;-30;69;76;37;11;"5"
-274;-125;-19;-259;141;372;-257;-130;-173;-279;118;40;239;-258;-266;-221;148;-227;-209;-253;85;"1"
-86;-80;-64;-71;-74;-86;-55;-77;-62;-89;-69;-66;-78;-64;-80;-50;-85;-51;-42;-61;-67;"3"
28;-27;103;76;-43;-55;120;-25;-27;-102;-64;-106;-47;106;54;-110;-101;-111;-57;87;-82;"4"
-70;-57;-100;-57;173;-192;-29;-63;81;-63;188;192;130;-34;-68;-11;129;-4;-1;-28;182;"3"
41;68;49;47;-23;-26;59;75;53;43;-26;-5;-9;54;44;59;-8;63;49;67;-23;"3"
46;-37;4;42;61;-2;73;-21;-2;94;59;94;-62;67;37;16;-75;-14;65;31;93;"3"
-58;-63;-77;-123;-114;-95;-140;-63;-9;-76;-82;-127;-75;-131;-108;-104;-122;-103;-142;-131;-132;"4"
1;-49;27;9;-61;-1;10;-49;7;-26;-53;-12;16;9;2;-13;10;-3;-21;11;-40;"2"
288;-39;-252;133;-32;-194;-9;-21;74;133;-83;-281;1;41;231;-274;64;-248;-195;-26;-173;"1"
-38;112;-52;-12;0;50;73;124;-70;31;-35;63;60;34;-26;-3;87;20;4;68;8;"4"
-30;-1;28;-23;-36;-2;-1;6;-1;-57;-46;-35;-13;-12;-28;-18;0;-7;-37;10;-50;"2"
-10;-14;-11;3;-28;-1;18;-9;-69;-25;-28;-43;-5;13;-5;22;1;25;6;28;-36;"2"
34;-11;70;39;-12;6;-14;-4;18;30;1;-17;-16;13;45;-32;-4;-53;11;-28;-15;"2"
-54;2;-2;-55;17;-21;-51;1;-25;-44;10;-3;-16;-50;-56;-13;-33;-13;-20;-40;6;"2"
-29;15;12;-23;-45;4;0;13;6;-57;-44;-92;-29;-10;-29;17;-40;24;-1;16;-59;"2"
39;-19;47;21;9;12;12;-29;54;57;25;-6;81;17;28;54;62;52;65;23;21;"3"
60;19;38;59;58;10;55;18;16;36;71;55;34;56;58;39;40;42;31;52;76;"3"
-43;37;-159;-86;58;-14;-97;32;67;50;59;69;-45;-94;-71;67;-56;82;49;-67;25;"4"
-21;-226;177;-110;12;-86;-192;-202;85;29;11;-175;112;-150;-67;173;198;126;230;-270;-40;"1"
9;183;14;9;-108;-34;4;141;225;6;-130;-114;-114;6;12;-79;-98;-70;-59;-5;-136;"2"
4;73;134;9;-15;48;31;84;34;15;-1;28;24;24;7;-37;50;-40;-7;36;0;"2"
-42;12;-17;12;-24;-5;-8;9;-12;15;7;36;23;23;3;51;50;21;27;34;10;"5"
-43;37;-92;8;-27;33;35;23;-11;-52;-89;-26;89;31;-17;15;50;17;30;15;-82;"5"
-6;70;-12;6;-14;6;12;75;76;-13;-8;-16;-20;12;-5;-11;-23;-8;-22;7;-17;"2"
6;38;192;-4;-27;93;-26;56;88;107;-26;-70;-117;-14;6;37;-123;33;41;-34;-45;"3"
63;-91;-46;86;-34;-60;103;-73;-18;40;-24;-46;-20;95;74;80;-47;84;90;113;-16;"2"
-1289;18;458;-1129;384;335;-42;27;-1261;686;379;235;372;-509;-1420;-74;-80;-133;67;149;343;"1"
-1;49;-27;-17;2;-104;-22;33;-37;4;-2;-25;-43;-24;-10;-71;-50;-69;-58;-25;-3;"3"
-17;-68;-37;-35;58;-3;44;-48;-21;88;54;-27;12;12;-26;-4;105;-2;-21;111;11;"5"
-14;75;49;-13;-55;-79;7;70;87;29;-14;-13;-16;-6;-18;-7;-32;-7;-6;27;-4;"3"
186;-121;-298;331;272;-1;520;-115;118;-58;518;27;145;445;251;-442;-333;-437;-357;536;370;"1"
-167;-82;773;-184;-221;22;-210;-98;146;-47;-199;-181;-177;-196;-174;-155;-174;-161;-150;-236;-193;"2"
-27;-10;52;-16;-65;15;-2;-27;19;-24;-42;-46;9;-16;-22;-12;18;-13;-6;10;-46;"3"
-93;-79;-87;-85;-48;-85;-79;-75;-73;-92;-45;-42;-88;-79;-88;-79;-83;-83;-74;-77;-42;"3"
-25;14;2;-26;-32;-1;-24;8;-4;-23;-17;-8;14;-26;-27;29;14;26;41;-13;-6;"3"
-32;-31;-35;-7;51;79;10;-21;65;-88;32;-59;-34;3;-21;-13;-22;-16;-11;11;-1;"3"
-5;-253;-44;-14;45;69;-11;-327;-74;-18;32;44;-16;-10;-4;19;47;16;6;-6;24;"1"
-45;-67;-58;-66;-84;-59;-59;-74;-95;-47;-101;-85;-85;-66;-57;-52;-77;-42;-85;-43;-81;"5"
-113;49;-82;-108;-38;26;-71;38;16;-84;-22;-1;-29;-90;-110;33;5;18;33;-49;-10;"3"
210;-311;-64;577;-202;-51;641;162;160;404;-111;-1668;315;631;417;688;69;615;767;628;-826;"1"
-21;-6;15;-14;17;1;-13;3;6;-6;24;11;0;-11;-19;24;8;19;25;-11;28;"3"
112;7;90;111;30;-8;118;6;7;110;1;13;-16;119;110;110;7;112;84;124;0;"3"
18;22;44;20;28;22;27;26;43;13;38;47;29;26;16;11;24;15;-2;12;38;"3"
-117;-61;-135;-126;11;-76;-98;-45;-36;-164;41;71;-39;-114;-125;10;7;6;6;-74;59;"2"
-265;505;1059;-590;-1025;535;-861;660;401;-231;-832;134;-972;-823;-488;-259;-531;178;-251;-218;-555;"1"
-87;-71;-67;-40;-47;-66;-32;-91;-84;-80;-29;-73;-65;-25;-60;-85;-98;-88;-89;-53;-53;"5"
-19;-115;-16;-9;-39;-40;-16;-104;-83;-47;-29;-10;-27;-15;-17;-45;-51;-43;-58;-10;-26;"3"
-4;-19;19;10;7;-38;-6;-17;7;45;9;11;-49;7;3;-23;-41;-13;9;-7;30;"5"
-1;-71;50;90;81;44;45;-40;-6;15;87;81;-107;96;28;-96;-74;-100;-75;-64;57;"3"
106;-38;139;102;-46;-63;83;-37;-40;51;-29;-5;-24;95;105;43;-24;30;51;65;-16;"2"
-15;-9;-105;-36;-69;-6;-31;-17;-19;9;-67;-60;-43;-41;-29;53;-35;58;62;-16;-62;"2"
-181;-46;-46;-166;-145;163;-128;-133;-55;-177;-179;-229;-344;-140;-184;-91;-382;-99;-44;-138;-210;"1"
-21;-38;27;-29;3;49;-45;-48;-51;4;-14;-6;37;-41;-24;-28;36;-32;-7;-47;-7;"4"
105;-13;39;51;33;-17;7;12;-85;42;34;35;51;33;79;67;58;70;22;-67;75;"4"
-74;95;48;-228;-192;-62;-323;15;-7;-110;-111;-235;-149;-298;-138;-71;-102;14;-44;-277;-82;"1"
-236;126;-369;-190;-166;-75;-193;88;358;-299;-117;-80;28;-192;-208;146;64;122;187;-176;-76;"1"
9;22;-7;14;1;-38;33;24;29;-48;9;13;-6;27;11;-4;-12;-9;22;17;15;"5"
30;-10;69;55;3;-41;67;4;-98;54;-28;-123;-163;69;46;9;-126;17;13;72;-76;"4"
-137;-90;59;-73;-74;26;-12;-4;-70;85;12;138;53;-38;-115;-124;57;-74;-135;56;141;"4"
-179;4;423;-175;-669;-313;-155;-19;-106;-182;-372;-118;-23;-168;-176;-76;-57;-132;97;-132;-203;"1"
-48;354;-75;-37;-100;11;-21;350;151;-21;-85;-106;-89;-27;-45;18;-94;12;40;-24;-88;"1"
26;-53;-32;14;-26;-30;-4;-34;-15;3;-43;16;36;1;25;47;80;36;50;0;-27;"5"
77;-63;-70;53;-77;-42;-12;-57;-74;-45;-66;-31;-77;13;84;10;-49;32;10;-17;-5;"4"
-1;32;-58;-8;48;29;-21;23;77;-15;37;1;61;-11;-32;-22;11;-3;-49;-3;-5;"5"
45;-252;-35;67;-377;-115;44;-181;-3;-105;-391;-182;-417;49;76;-346;-315;-342;-353;84;-276;"1"
145;88;63;122;219;104;72;91;99;50;94;-101;-87;94;140;114;-121;91;121;-8;-29;"4"
139;-73;-188;121;16;-89;30;-45;45;-40;-23;-48;-99;81;135;-75;8;-55;-162;-76;-43;"1"
6;-20;6;14;-38;-26;25;-25;2;15;-33;38;-5;18;5;1;-10;7;1;17;13;"5"
27;67;-30;9;68;123;-28;86;137;-13;37;24;78;-19;11;-21;20;11;-6;-1;114;"5"
-201;-352;93;-391;7;113;-438;-501;-11;185;-162;-289;-363;-463;-297;297;-260;328;140;-117;-329;"1"
71;-28;-12;44;-49;-11;53;-42;42;35;-9;-93;34;37;62;26;22;37;-2;86;-47;"5"
85;-165;123;88;-191;127;92;-146;16;109;-180;-230;368;90;85;68;116;70;71;90;-210;"1"
147;-58;126;146;113;-54;161;-70;-18;217;84;25;60;148;138;89;79;100;73;206;68;"2"
296;-406;281;282;316;456;260;-540;100;314;321;317;64;270;291;-104;168;-34;-268;234;326;"1"
-124;181;-139;-132;-204;184;-131;345;-231;-100;-214;-238;-253;-132;-130;-151;-233;-145;-145;-129;-229;"1"
28;33;-42;41;-88;-7;38;26;0;17;-95;-76;-127;40;36;-4;-112;-13;10;28;-85;"3"
-32;30;-55;-23;-17;6;-23;6;104;-58;-65;-40;-47;-25;-25;-48;-56;-64;-18;-38;-43;"4"
-10;-68;-29;-47;-38;-101;-100;-74;-103;36;-30;-33;-62;-70;-25;-81;-82;-66;-86;-105;-31;"5"
-344;615;212;-368;41;-73;-867;628;283;40;-446;-466;96;-580;-246;333;55;326;357;-1136;-307;"1"
-61;-29;2;-91;-85;-76;-67;-45;-6;45;-67;-5;-20;-90;-83;-7;-38;5;-56;-34;-37;"5"
6;0;50;1;17;67;-19;3;47;17;4;17;6;-9;5;-8;4;-18;-4;-36;12;"2"
-70;-55;-75;-82;-74;-65;-107;-56;-61;-84;-106;-70;-64;-95;-76;-73;-50;-64;-103;-132;-92;"5"
126;-43;-2;131;-76;-18;133;-53;-72;105;-55;-37;19;132;126;96;0;107;62;138;-51;"2"
0;-22;2;-5;26;-45;-14;-21;13;-13;21;17;31;-14;-4;-70;26;-67;-81;-26;12;"3"
20;-2;52;-10;26;5;-23;34;-81;16;-12;-70;-39;-25;3;18;-30;29;15;13;-40;"4"
-157;-126;38;-246;31;-54;-248;-90;42;-18;135;16;-194;-254;-211;-15;-306;-15;-6;-196;190;"1"
-30;-23;-33;-42;-8;27;-23;-12;19;-35;2;25;-16;-37;-42;-5;-16;-37;-1;18;30;"5"
-41;9;37;-82;-82;-138;-42;15;-12;61;60;64;-51;-91;-47;-85;-5;-95;-72;125;132;"4"
-40;68;25;1;-83;48;-22;62;98;41;-35;28;18;-1;-19;-37;34;-39;-10;-57;16;"5"
6;-18;-51;-25;-14;-28;-38;-43;-10;-12;21;-94;50;-38;5;-4;32;12;-38;10;18;"5"
-35;-183;-87;12;-110;-93;41;-183;-217;-57;-113;-119;-137;28;-9;143;-132;138;162;50;-117;"2"
-22;-25;-44;-18;21;-31;-28;-29;-14;-36;9;34;31;-21;-16;-100;34;-97;-91;-42;15;"3"
43;8;76;55;-21;-77;56;7;18;56;2;-1;-74;56;49;-3;-60;0;-6;35;13;"3"
-37;44;17;38;31;60;105;37;21;-23;-7;-117;-7;74;-1;-71;33;-50;-140;121;-55;"4"
-30;65;-13;-21;55;-1;-13;58;56;-20;45;23;-44;-14;-30;76;-44;75;63;9;17;"3"
-1166;19;214;-307;104;941;-105;-77;877;544;-971;-188;769;-138;-695;-118;401;-144;-64;-226;-1005;"1"
28;28;26;-8;34;-6;-76;9;-85;63;4;-5;11;-35;17;-160;8;-173;-163;-142;-14;"2"
-21;25;-38;-29;73;-41;-26;42;13;14;78;-35;3;-41;3;43;53;37;24;22;-32;"4"
23;-426;-293;156;-23;77;376;-240;-32;-196;119;504;-120;250;81;-419;-100;-530;-201;653;298;"1"
-67;57;-6;-19;-202;-26;47;39;-38;-32;-170;125;11;16;-37;-66;57;-102;4;99;-48;"4"
-42;2;-63;-15;-86;11;3;7;-26;-63;-75;-52;-28;-6;-30;-19;-19;-9;-46;14;-63;"2"
6;-10;40;-15;-3;7;-23;-16;15;-7;17;-77;-64;-18;-11;-11;-33;-3;-18;-32;13;"5"
-49;-9;-68;-37;-4;110;-20;-4;13;18;13;40;56;-31;-47;-9;44;-3;-14;-9;39;"5"
689;0;271;595;687;487;59;-161;-602;-1099;1038;-97;-622;328;797;451;10;400;310;-780;688;"1"
73;-77;73;36;-22;8;31;-75;-8;44;23;13;1;5;64;30;-43;20;48;39;68;"5"
252;9;9;214;34;83;153;39;212;51;70;137;-112;193;250;205;4;216;105;142;98;"1"
19;50;16;12;81;-9;19;48;-33;12;76;68;-6;19;11;40;-15;30;62;24;77;"3"
10;-37;5;-2;48;-20;-15;-38;-40;-6;40;46;21;-3;4;-4;22;-6;-5;-19;40;"2"
122;57;100;110;47;40;72;57;46;40;56;138;104;79;126;84;84;51;112;56;126;"4"
-28;-7;-34;-39;-80;-96;-47;-2;17;-27;-106;-42;-8;-48;-33;-105;-17;-115;-63;-22;-89;"4"
-60;64;-19;-55;59;98;-43;72;-1;-29;29;13;4;-44;-60;24;-19;6;-12;-47;20;"5"
-18;-21;30;-19;20;-42;-18;-37;6;10;24;-33;9;-22;-18;37;3;34;37;-13;1;"2"
-15;34;-3;-20;-30;40;-15;30;7;-45;-40;-25;-9;-15;-14;-45;-7;-41;-59;3;-45;"3"
0;-21;-1;17;-16;70;27;-39;33;-23;-30;-23;-25;20;7;50;-58;35;46;7;-42;"4"
-324;-195;347;-349;339;-190;-314;-6;-26;-203;87;-406;356;-335;-345;223;589;163;214;-270;-141;"1"
-62;-67;-47;-68;-44;-149;-108;-63;-96;-120;-57;-72;-78;-83;-52;-55;-60;-64;-41;-132;-77;"4"
-30;-229;-356;36;272;229;151;-101;102;-161;421;245;36;85;3;102;-28;229;-225;264;507;"1"
-66;23;-79;251;152;-54;418;35;-44;-258;258;124;-200;357;98;59;-218;17;85;368;211;"1"
-190;-508;179;-46;-459;146;177;-483;327;-637;-647;-143;242;11;-113;77;115;81;115;376;-612;"1"
-58;-78;-89;-49;-54;-61;-36;-74;-63;-81;-61;-90;-90;-41;-56;-55;-86;-53;-54;-32;-81;"3"
77;-71;-8;63;-134;-52;34;-53;-56;64;-87;38;15;58;78;-27;54;-24;-54;-5;-39;"5"
-65;-68;43;-55;-95;24;7;-70;-7;41;-102;3;-8;-28;-89;66;-5;69;14;51;-103;"3"
119;11;270;119;21;-26;118;7;197;118;98;444;-159;118;119;77;-81;84;63;113;251;"1"
46;-32;5;34;103;39;6;-16;33;33;98;56;37;17;37;18;21;14;13;-4;90;"3"
-12;26;23;-17;-41;6;-6;18;-93;-17;-61;-46;-40;-14;-11;-34;-50;-40;-20;27;-70;"5"
-89;-392;-358;-344;894;-116;-630;-846;-251;232;820;299;-1612;-478;-220;887;-1457;752;456;-1242;611;"1"
73;105;55;85;0;62;67;122;-63;119;-7;72;179;80;79;4;162;-1;32;1;40;"2"
-106;-14;-28;-85;50;-83;-77;-3;-81;-50;-40;9;-40;-79;-96;-47;-41;-28;-93;-56;-65;"4"
56;3;43;53;9;57;31;5;34;2;9;-7;-77;41;59;27;-72;33;21;31;-2;"3"
-16;23;-32;-13;-21;1;-29;28;19;-28;-18;-2;-17;-25;-12;-35;-13;-37;-19;-45;-7;"2"
29;-30;11;49;80;32;52;-22;-16;19;84;49;49;54;39;71;54;76;53;58;72;"2"
20;-45;1;19;25;3;17;-47;-39;18;21;18;-10;20;20;-7;0;-10;-3;20;17;"2"
-37;-28;0;-12;-45;-20;12;-18;-11;-79;-36;6;2;0;-24;-87;-2;-73;-107;22;-18;"2"
-36;41;-17;-19;5;11;-5;32;5;-54;15;1;-29;-13;-29;43;-44;52;23;5;15;"3"
71;18;70;46;-39;-29;30;15;-82;67;-90;-146;-34;34;59;-91;-47;-85;-98;6;-149;"2"
